Published,Date,千代田区,中央区,港区,新宿区,文京区,台東区,墨田区,江東区,品川区,目黒区,大田区,世田谷区,渋谷区,中野区,杉並区,豊島区,北区,荒川区,板橋区,練馬区,足立区,葛飾区,江戸川区,八王子市,立川市,武蔵野市,三鷹市,青梅市,府中市,昭島市,調布市,町田市,小金井市,小平市,日野市,東村山市,国分寺市,国立市,福生市,狛江市,東大和市,清瀬市,東久留米市,武蔵村山市,多摩市,稲城市,羽村市,あきる野市,西東京市,瑞穂町,日の出町,檜原村,奥多摩町,大島町,利島村,新島村,神津島村,三宅村,御蔵島村,八丈町,青ヶ島村,小笠原村,都外,調査中,小計
2020/4/11 20:15,2020/04/13,12,39,163,177,23,47,28,52,94,72,67,205,72,67,97,49,23,13,47,60,46,44,43,19,8,7,14,2,14,3,13,23,8,6,12,3,3,3,0,7,4,6,6,1,7,5,5,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,58,367,2158
2020/4/15 21:00,2020/04/14,12,51,168,180,26,49,35,56,104,76,71,234,81,70,107,62,30,13,50,67,50,46,47,20,8,8,14,2,15,3,15,24,8,6,12,4,3,3,0,7,4,6,7,1,8,6,5,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,60,371,2319
2020/4/16 20:00,2020/04/15,16,53,172,187,28,49,36,57,104,80,77,243,89,77,115,65,30,13,51,80,51,48,52,21,8,10,16,2,20,3,20,25,8,8,12,4,5,3,0,8,4,6,11,1,12,6,5,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,63,377,2446
2020/4/16 20:00,2020/04/16,18,56,179,205,36,53,47,59,111,83,79,247,94,79,120,71,34,13,51,88,57,59,59,22,9,10,18,2,20,3,22,26,8,9,12,3,5,3,0,9,4,6,11,1,13,6,5,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,67,384,2593
2020/4/17 21:00,2020/04/16,18,56,179,205,36,53,47,59,111,83,79,247,94,79,120,71,34,13,51,88,57,59,59,22,9,10,18,2,20,3,22,26,8,9,12,3,5,3,0,9,4,6,11,1,13,6,5,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,67,384,2593
2020/4/18 20:00,2020/04/17,19,58,197,219,39,53,48,65,123,92,79,259,105,82,127,79,35,13,57,90,65,64,70,23,13,12,20,3,27,3,23,28,9,9,13,4,6,4,0,9,5,9,11,1,16,6,5,2,18,1,0,0,0,0,0,0,0,0,0,0,0,0,76,400,2794
2020/4/19 20:15,2020/04/18,19,65,208,227,41,55,51,68,130,94,90,277,113,83,134,88,44,13,64,100,69,77,77,30,13,13,20,3,28,5,24,30,9,11,13,5,6,4,0,9,5,9,11,1,19,6,5,2,19,1,0,0,0,0,0,0,0,0,0,0,0,0,77,410,2975
2020/4/20 19:45,2020/04/19,19,67,212,227,45,59,57,73,132,97,96,293,118,90,145,88,45,13,66,101,70,78,81,31,13,14,20,3,30,6,25,31,10,12,13,5,6,4,0,10,5,10,12,1,19,6,5,3,21,1,0,0,0,0,0,0,0,0,0,0,0,0,82,412,3082
2020/4/21 20:00,2020/04/20,19,68,215,255,46,59,60,75,138,101,97,305,119,90,146,88,47,14,69,112,70,80,84,33,13,14,21,3,32,6,26,31,10,13,14,5,6,4,0,11,5,11,12,1,19,6,5,3,25,1,0,0,0,0,0,0,0,0,0,0,0,0,85,412,3184
2020/4/22 19:45,2020/04/21,19,70,224,259,50,59,64,81,141,102,100,314,132,93,154,93,51,17,75,114,76,81,87,35,13,14,22,3,33,6,26,34,10,13,16,5,7,4,1,11,5,11,12,1,21,6,5,3,26,1,0,0,0,0,0,0,0,0,0,0,0,0,86,421,3307
